team,playerName,position,salary,birth,birthYear,height,weight,elementarySchool,middleSchool,highSchool,nationality,teamCareer,joinYear,joinTeam
두산,강동연,투수,2500,1992-12-18,1992,195,94,진북초,덕수중,유신고,한국,,2012,두산
롯데,강승현,투수,2500,1985-10-06,1985,186,88,사당초,경원중,서울고,한국,단국대,2008,롯데
롯데,강영식,투수,30000,1981-06-17,1981,189,98,칠성초,경복중,상원고,한국,해태-삼성,2000,해태
넥센,강윤구,투수,10500,1990-07-10,1990,183,89,이수초,경원중,장충고,한국,(방송통신대),2009,히어로즈
KIA,고영창,투수,2500,1989-02-24,1989,189,92,서림초,진흥중,진흥고,한국,연세대,2013,KIA
NC,고창성,투수,7000,1984-12-21,1984,183,85,봉천초,홍은중,선린인터넷고,한국,경성대-두산,2008,두산
SK,고효준,투수,11000,1983-02-08,1983,179,71,서원초,세광중,세광고,한국,롯데,2003,SK
KIA,곽정철,투수,7000,1986-03-14,1986,186,95,송정동초,무등중,광주제일고,한국,,,
한화,구본범,투수,2600,1987-02-08,1987,191,91,인헌초,성남중,성남고,한국,원광대-한화-경찰,,
롯데,구승민,투수,2400,1990-06-12,1990,181,80,동일초(도봉리틀),청원중,청원고,한국,홍익대,,
넥센,구자형,투수,2400,1990-11-30,1990,188,88,내발산초,신월중,경동고,한국,동의대,2014,넥센
삼성,권오준,투수,12000,1980-03-09,1980,182,80,화곡초,선린중,선린정보고,한국,,1999,삼성
넥센,권택형,투수,2400,1993-09-24,1993,184,85,사당초,언북중,덕수고,한국,,2012,넥센
삼성,권혁,투수,26000,1983-11-06,1983,192,97,수창초,성광중,포철공고,한국,,2002,삼성
넥센,금민철,투수,8000,1986-11-07,1986,181,87,부천북초,부천중,동산고,한국,(한국디지털대)-두산,2010,넥센
두산,김강률,투수,6000,1988-08-28,1988,187,95,문촌초(일산리틀),장성중,경기고,한국,두산-상무,2007,두산
삼성,김건필,투수,2500,1988-06-19,1988,187,93,제주신광초,경복중,대구고,한국,(방송통신대),2008,삼성
삼성,김건한,투수,6500,1981-03-26,1981,182,82,포항초,포철중,포철공고,한국,SK-KIA-상무-KIA,2001,SK
LG,김광삼,투수,7000,1980-08-15,1980,184,90,쌍문초,신일중,신일고,한국,LG-상무,1999,LG
